<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.06.20	12:00:00	1.26915	1.27011	1.26493	1.26507	22333	0	11
2017.06.20	16:00:00	1.26511	1.26556	1.26025	1.26237	26421	0	11
2017.06.20	20:00:00	1.26238	1.26363	1.26137	1.26255	9552	0	11
2017.06.21	00:00:00	1.26255	1.26342	1.26205	1.26210	7387	0	11
2017.06.21	04:00:00	1.26210	1.26347	1.26210	1.26302	6343	0	11
2017.06.21	08:00:00	1.26306	1.26341	1.25885	1.26073	17080	0	11
2017.06.21	12:00:00	1.26074	1.27095	1.26022	1.27001	27814	0	11
2017.06.21	16:00:00	1.27000	1.27025	1.26497	1.26579	20547	0	11
2017.06.21	20:00:00	1.26579	1.26717	1.26401	1.26712	11074	0	11
2017.06.22	00:00:00	1.26712	1.26826	1.26691	1.26735	8676	0	11
2017.06.22	04:00:00	1.26734	1.26740	1.26570	1.26721	7763	0	11
2017.06.22	08:00:00	1.26720	1.26863	1.26558	1.26617	16408	0	11
2017.06.22	12:00:00	1.26617	1.26742	1.26539	1.26559	20436	0	11
2017.06.22	16:00:00	1.26558	1.26774	1.26532	1.26659	20745	0	11
2017.06.22	20:00:00	1.26659	1.26909	1.26620	1.26811	10068	0	11
2017.06.23	00:00:00	1.26797	1.26860	1.26746	1.26850	6770	0	11
2017.06.23	04:00:00	1.26851	1.27044	1.26818	1.27003	8220	0	11
2017.06.23	08:00:00	1.27003	1.27438	1.26956	1.27305	19394	0	11
2017.06.23	12:00:00	1.27304	1.27397	1.27139	1.27229	19031	0	11
2017.06.23	16:00:00	1.27227	1.27425	1.27048	1.27160	18445	0	11
2017.06.23	20:00:00	1.27162	1.27310	1.27156	1.27160	7579	0	11
2017.06.26	00:00:00	1.27347	1.27498	1.27299	1.27453	6433	0	11
2017.06.26	04:00:00	1.27451	1.27543	1.27415	1.27423	6325	0	11
2017.06.26	08:00:00	1.27423	1.27592	1.27252	1.27393	15751	0	11
2017.06.26	12:00:00	1.27392	1.27512	1.27056	1.27377	20094	0	11
2017.06.26	16:00:00	1.27377	1.27520	1.27145	1.27225	17454	0	11
2017.06.26	20:00:00	1.27231	1.27263	1.27101	1.27217	7094	0	11
2017.06.27	00:00:00	1.27185	1.27233	1.27171	1.27205	6521	0	11
2017.06.27	04:00:00	1.27204	1.27292	1.27157	1.27286	6762	0	11
2017.06.27	08:00:00	1.27287	1.27564	1.27176	1.27475	18542	0	11
2017.06.27	12:00:00	1.27477	1.27719	1.27335	1.27605	23201	0	11
2017.06.27	16:00:00	1.27605	1.27946	1.27575	1.27810	22814	0	11
2017.06.27	20:00:00	1.27812	1.28604	1.27781	1.28114	13445	0	11
2017.06.28	00:00:00	1.28141	1.28204	1.28076	1.28120	8481	0	11
2017.06.28	04:00:00	1.28121	1.28278	1.28088	1.28172	8928	0	11
2017.06.28	08:00:00	1.28171	1.28307	1.27934	1.28275	24445	0	11
2017.06.28	12:00:00	1.28276	1.28541	1.28109	1.28306	30201	0	11
2017.06.28	16:00:00	1.28308	1.29721	1.28295	1.29304	36231	0	11
2017.06.28	20:00:00	1.29305	1.29388	1.29190	1.29248	10001	0	11
2017.06.29	00:00:00	1.29243	1.29459	1.29231	1.29436	9745	0	11
2017.06.29	04:00:00	1.29437	1.29754	1.29416	1.29538	9788	0	11
2017.06.29	08:00:00	1.29538	1.29942	1.29511	1.29753	20950	0	11
2017.06.29	12:00:00	1.29752	1.30068	1.29539	1.29670	23478	0	11
2017.06.29	16:00:00	1.29669	1.29995	1.29636	1.29880	20508	0	11
2017.06.29	20:00:00	1.29879	1.30148	1.29857	1.30026	11268	0	11
2017.06.30	00:00:00	1.30026	1.30221	1.29943	1.30170	9418	0	11
2017.06.30	04:00:00	1.30169	1.30293	1.30135	1.30236	11676	0	11
2017.06.30	08:00:00	1.30235	1.30240	1.29824	1.29855	19369	0	11
2017.06.30	12:00:00	1.29852	1.29933	1.29585	1.29689	21033	0	11
2017.06.30	16:00:00	1.29688	1.30118	1.29443	1.30069	20705	0	11
2017.06.30	20:00:00	1.30068	1.30282	1.29977	1.30222	9269	0	11
2017.07.03	00:00:00	1.30044	1.30239	1.30007	1.30065	6979	0	11
2017.07.03	04:00:00	1.30066	1.30090	1.29946	1.29953	8512	0	11
2017.07.03	08:00:00	1.29953	1.30221	1.29614	1.29621	19379	0	11
2017.07.03	12:00:00	1.29622	1.29781	1.29432	1.29652	20876	0	11
2017.07.03	16:00:00	1.29652	1.29663	1.29314	1.29560	20402	0	11
2017.07.03	20:00:00	1.29560	1.29620	1.29348	1.29380	6031	0	11
2017.07.04	00:00:00	1.29346	1.29548	1.29259	1.29507	10067	0	11
2017.07.04	04:00:00	1.29512	1.29551	1.29334	1.29506	8779	0	11
2017.07.04	08:00:00	1.29505	1.29582	1.29177	1.29243	20086	0	11
2017.07.04	12:00:00	1.29240	1.29427	1.29144	1.29290	14665	0	11
2017.07.04	16:00:00	1.29291	1.29425	1.29119	1.29259	13813	0	11
2017.07.04	20:00:00	1.29264	1.29301	1.29164	1.29185	23587	0	11
2017.07.05	00:00:00	1.29130	1.29396	1.29125	1.29336	10417	0	11
2017.07.05	04:00:00	1.29337	1.29475	1.29220	1.29237	8436	0	11
2017.07.05	08:00:00	1.29238	1.29369	1.28935	1.29014	20385	0	11
2017.07.05	12:00:00	1.29013	1.29217	1.28929	1.29139	18654	0	11
2017.07.05	16:00:00	1.29139	1.29352	1.29026	1.29217	17113	0	11
2017.07.05	20:00:00	1.29220	1.29362	1.29082	1.29324	12168	0	11
2017.07.06	00:00:00	1.29314	1.29381	1.29234	1.29309	11407	0	11
2017.07.06	04:00:00	1.29309	1.29433	1.29193	1.29390	8830	0	11
2017.07.06	08:00:00	1.29389	1.29466	1.29229	1.29309	14389	0	11
2017.07.06	12:00:00	1.29309	1.29836	1.29270	1.29499	22546	0	11
2017.07.06	16:00:00	1.29499	1.29749	1.29240	1.29687	18785	0	11
2017.07.06	20:00:00	1.29689	1.29760	1.29594	1.29705	8544	0	11
2017.07.07	00:00:00	1.29639	1.29727	1.29613	1.29631	6195	0	11
2017.07.07	04:00:00	1.29633	1.29743	1.29633	1.29680	10361	0	11
2017.07.07	08:00:00	1.29680	1.29728	1.29119	1.29230	16582	0	11
2017.07.07	12:00:00	1.29230	1.29237	1.28699	1.28752	25166	0	11
2017.07.07	16:00:00	1.28750	1.28890	1.28664	1.28860	20356	0	11
2017.07.07	20:00:00	1.28859	1.28931	1.28721	1.28895	7939	0	11
2017.07.10	00:00:00	1.28808	1.28968	1.28706	1.28894	6497	0	11
2017.07.10	04:00:00	1.28895	1.28998	1.28882	1.28935	5785	0	11
2017.07.10	08:00:00	1.28936	1.29076	1.28623	1.28675	14849	0	11
2017.07.10	12:00:00	1.28675	1.28903	1.28570	1.28776	14089	0	11
2017.07.10	16:00:00	1.28776	1.28912	1.28541	1.28769	15614	0	11
2017.07.10	20:00:00	1.28770	1.28890	1.28762	1.28784	5505	0	11
2017.07.11	00:00:00	1.28741	1.28817	1.28740	1.28767	5551	0	11
2017.07.11	04:00:00	1.28766	1.28818	1.28713	1.28770	6174	0	11
2017.07.11	08:00:00	1.28769	1.29172	1.28692	1.29117	12980	0	11
2017.07.11	12:00:00	1.29119	1.29268	1.28729	1.28764	16510	0	11
2017.07.11	16:00:00	1.28764	1.28782	1.28304	1.28478	23044	0	11
2017.07.11	20:00:00	1.28479	1.28610	1.28417	1.28469	11805	0	11
2017.07.12	00:00:00	1.28372	1.28641	1.28372	1.28622	8744	0	11
2017.07.12	04:00:00	1.28621	1.28641	1.28409	1.28532	10310	0	11
2017.07.12	08:00:00	1.28533	1.28643	1.28113	1.28511	18809	0	11
2017.07.12	12:00:00	1.28512	1.29071	1.28428	1.28917	24197	0	11
2017.07.12	16:00:00	1.28917	1.29002	1.28549	1.28980	29707	0	11
2017.07.12	20:00:00	1.28978	1.28996	1.28764	1.28835	8516	0	11
2017.07.13	00:00:00	1.28811	1.29017	1.28797	1.28996	9759	0	11
2017.07.13	04:00:00	1.28997	1.29046	1.28919	1.28975	10779	0	11
2017.07.13	08:00:00	1.28975	1.29519	1.28954	1.29274	18104	0	11
2017.07.13	12:00:00	1.29273	1.29548	1.29143	1.29419	24265	0	11
2017.07.13	16:00:00	1.29419	1.29484	1.29116	1.29226	19202	0	11
2017.07.13	20:00:00	1.29226	1.29467	1.29185	1.29410	7915	0	11
2017.07.14	00:00:00	1.29362	1.29502	1.29362	1.29429	6789	0	11
2017.07.14	04:00:00	1.29429	1.29532	1.29347	1.29527	8205	0	11
2017.07.14	08:00:00	1.29527	1.29654	1.29481	1.29570	14121	0	11
2017.07.14	12:00:00	1.29571	1.30110	1.29552	1.30109	20306	0	11
2017.07.14	16:00:00	1.30107	1.30928	1.29996	1.30796	27300	0	11
2017.07.14	20:00:00	1.30791	1.31131	1.30702	1.30959	8977	0	11
2017.07.17	00:00:00	1.30960	1.31121	1.30960	1.31014	15283	0	11
2017.07.17	04:00:00	1.31014	1.31043	1.30911	1.30939	9626	0	11
2017.07.17	08:00:00	1.30941	1.30959	1.30672	1.30704	16895	0	11
2017.07.17	12:00:00	1.30705	1.30800	1.30571	1.30741	17950	0	11
2017.07.17	16:00:00	1.30740	1.30783	1.30500	1.30588	19492	0	11
2017.07.17	20:00:00	1.30587	1.30614	1.30460	1.30570	7408	0	11
2017.07.18	00:00:00	1.30519	1.30616	1.30503	1.30559	9955	0	11
2017.07.18	04:00:00	1.30559	1.30993	1.30527	1.30920	14944	0	11
2017.07.18	08:00:00	1.30918	1.31251	1.30149	1.30253	24437	0	11
2017.07.18	12:00:00	1.30251	1.30483	1.30043	1.30136	28370	0	11
2017.07.18	16:00:00	1.30139	1.30615	1.30099	1.30452	23513	0	11
2017.07.18	20:00:00	1.30453	1.30513	1.30358	1.30397	8359	0	11
2017.07.19	00:00:00	1.30395	1.30430	1.30294	1.30294	10608	0	11
2017.07.19	04:00:00	1.30291	1.30348	1.30229	1.30300	9726	0	11
2017.07.19	08:00:00	1.30300	1.30483	1.30098	1.30258	18118	0	11
